en,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
类 1 DKTZ,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
类 1 DKTZ - khoung keen,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
long,长,tryangq,長 (coeng4),長い (ながい),lang,긴,long,largo,dài,lang,lång,longo,lungo,طويل (tawil),длинный,panjang,longus,uzun
short,短,twanq,短 (duan2),短い (みじかい),kurz,짧은,court,corto,ngắn,kort,korto,corto,corto,قصير (qasir),короткий,pendek,brevis,kısa
tall,高,kaw,高 (gou1),高い (たかい),groß,키가 큰,grand,alto,cao,lang,lång,alto,alto,طويل (tawil),высокий,tinggi,altus,uzun boylu
short (vs tall),矮,qeeq,矮 (aai2),低い (ひくい),klein,키가 작은,petit,bajo,thấp,klein,korto,basso,basso,قصير (qasir),низкий,pendek (vs tinggi),brevis (vs altus),kısa (vs uzun boylu)
wide,宽,khwan,闊 (fut3),広い (ひろい),breit,넓은,large,ancho,rộng,breed,bred,largo,largo,واسع (wasee),широкий,lebar,late,geniş
narrow,窄,tsraek,窄 (zaak3),狭い (せまい),eng,좁은,étroit,estreito,hẹp,smal,smal,ristretto,stretto,ضيق (dayiq),узкий,sempit,angustus,dar
big/large,大,dajh,大 (daai6),大きい (おおきい),groß,큰,grande,grande,lớn,groot,stor,grande,grande,كبير (kabeer),большой,besar,magnus,büyük
small/little,小,siewq,細 (sai3),小さい (ちいさい),klein,작은,petit,pequeño,nhỏ,klein,liten,piccolo,piccolo,صغير (saghir),маленький,kecil,parvus,küçük
thick,厚,ghouq,厚 (hau5),厚い (あつい),dick,두꺼운,épais,grueso,dày,dik,tjock,espesso,spesso,سميك (samic),толстый,tebal,crassus,kalın
thin,薄,bak,薄 (baak6),薄い (うすい),dünn,얇은,mince,delgado,mỏng,dun,tunn,magro,sottile,رقيق (raqiq),тонкий,tipis,tenuis,ince
high,高,kaw,高 (gou1),高い (たかい),hoch,높은,haut,alto,cao,hoog,hög,alto,alto,عالي (a'ali),высокий,tinggi,altus,yüksek
low,低,tej,低 (dai1),低い (ひくい),niedrig,낮은,bas,bajo,thấp,laag,låg,baixo,basso,منخفض (mankhafidh),низкий,rendah,humilis,düşük
deep,深,sjimh,深 (sam1),深い (ふかい),tief,깊은,profond,profundo,sâu,diep,djup,profundo,profondo,عميق (ameeq),глубокий,dalam,altus,derin
shallow,浅,tshienq,淺 (cin2),浅い (あさい),flach,얕은,peu profond,superficial,nông,ondiep,grund,raso,superficiale,سطحي (sathhee),мелкий,cetek,superficialis,sığ
小类directions,方向,puang sjyangh,方向 (fong1 hoeng3),方向 (ほうこう),Richtungen,방향,directions,direcciones,hướng,richtingen,riktningar,instruções,indicazioni,اتجاهات (itijahat),направления,arahan,regiones,yonlar
top,顶部,tengq bouq,頂部 (dang2 bou6),上部 (うわべ),oben,위,top,arriba,trên,top,top,cima,alto,أعلى (a'ala),верх (verkh),atas,summus,üst
bottom,底部,tejq bouq,底部 (dai2 bou6),底部 (そこぶ),unten,밑,bas,bajo,dưới,bodem,botten,fundo,fondo,أسفل (asfal),низ (niz),dasar,basis,alt
side,侧面,tsryk mienh,側邊 (cak1 bin1),側面 (そくめん),Seite,옆쪽,côté,lado,bên,zijde,sida,lado,lato,جانب (janb),сторона (storona),sisi,latus,yan
front,前面,dzen mienh,前面 (cin4 min6),前面 (まえめん),Vorderseite,앞,avant,frontal,trước,voor,sida,dianteiro,anterior,الواجهة (alwajhah),перед (pered),depan,ante,ön
back,后面,ghouq mienh,後面 (hau6 min6),後面 (うしろめん),Rückseite,뒤,arrière,trasero,phía sau,achter,sida,traseiro,posteriore,الظهر (adh-dhar),зад (zad),belakang,dorsum,geri
outside,外面,ngwajh mienh,外面 (ngoi6 min6),外側 (そとがわ),außen,밖,extérieur,exterior,ngoài,buiten,utan,exterior,esterno,خارج (kharij),снаружи (snaruzhi),luar,foris,dışarı
