类,zh,en,ja,ko,de,fr,es,ru,vi,af,ar,bn,bo,da,el,eo,fa,fi,ga,he,hi,hy,is,it,km,la,lo,mn,mnc,ms,my,nl,no,pl,pt,qu,ro,sa,sv,sw,th,tr,ug,yi,za
1世界抽象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Kj空间,空间,room,空間|--かん,공간|空间,der| Raum| -..e,la| espace,el| espacio,ме́сто| n.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Cj时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Cl数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Jd指代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Ij引接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2世界宏观死物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Cq星球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Tc天象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Dl地理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Du地物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3世界外物生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DuCt身体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DuCtCj视觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DuCtTj听觉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DuMq动物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Ju植物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4人类相对静态,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Rl人类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Jk健康,睡,sleep,寝る,자다;잠자다,schlafen,dormir,dormir,спать|impf.;по-|pf.,ngủ|.㬳,slaap,نَامَ|nāma,শোয়া|soẇa,ཉལ|nyal|ȵɛː˩˧,sove|ˈsɒːʊ,κοιμάμαι,dormi,خوابیدن‎|xâbidan,nukkua,codail|/ˈkɔd̪ˠɪlʲ/,יָשֵׁן |yashén,सोना|sonā,քնել|kʿnel,sofa|ˈsɔːva,dormire,ដេក|deek,dormiō;cubō,ນອນ|nǭn,унтах|ᠤᠨᠲᠠᠬᠤ|untaqu,amgambi|ᠠᠮᡤᠠᠮᠪᡳ,tidur,အိပ်|ip,slapen,sove,spać|impf.,dormir,puñuy,dormi,स्वपिति|svapiti,sova,kulala,นอน|nɔɔn,uyumak,ئۇخلىماق‎|uxlimaq,שלאָפֿן‎|shlofn,ninz|˧˩
4Ic饮食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Iu衣物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Up物品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Jj居住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5人类空间移动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Jt交通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Lc旅行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6人类复杂行动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Dc做事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Gj工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Ju教育,学习,learn,習う;学ぶ,배우다,lernen,apprendre,aprender,учи́ться,học|学,leer,تَعَلَّمَ‎|taʿallama,শেখা|śekha,སྦྱང|sbyang|t͡ɕaŋ˩˧,lære|ˈlɛːɐ,μαθαίνω,lerni,یاد گرفتن‎|yâd gereftan,oppia,foghlaim|/ˈfˠoːl̪ˠɪmʲ/,למד‎|lamád,सीखना|sīkhnā,սովորել|sovorel,læra,imparare,រៀន|riən,discō,ຮຽນ|hīan,сурах|ᠰᠤᠷᠬᠤ|surqu,tacimbi|ᡨᠠᠴᡳᠮᠪᡳ,belajar,သင်ကြား|sangkra:,leren,lære,uczyć się|impf.;na-|pf.,aprender,yachay,învăța,शिक्षति|śikṣati,lära,-jifunza,เรียน|riian,öğrenmek,ئوقۇماق|oqumaq,לערנען זיך‎|lernen zikh|s'teach,hag
6Gd工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Jj经济,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7人类抽象层面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Jc知识,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Su思维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Iu言语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Cp识评,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Qg情感,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Cc休闲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Jn纪念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8众人之间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Cf身份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Jt家庭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9超越众人建构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Gj国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Jj政治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
